class,gender,age,living,type_living,rooms,education,salary,family_status,kids,religion,believe,important,left_right
Hareshima Hameshutefet,Woman,34,Haifa,City,8,Second degree,5K-10K,Married,2,Muslim,religious,Security,10
Hareshima Hameshutefet,Woman,39,Haifa,Kefar,8,Second degree,10K-15K,Married,3,Muslim,religious,Culture,50
Hareshima Hameshutefet,Woman,35,South,Yeshuv,4,First degree,5K-10K,Married,2,Muslim,religious,Health,50
Hareshima Hameshutefet,Woman,36,South,City,3,Second degree,5K-10K,Married,1,Muslim,observant,Security,0
Other,Woman,27,South,Yeshuv,2,First degree,5K-10K,Married,3,Muslim,religious,Security,0
Hareshima Hameshutefet,Woman,27,South,City,4,Second degree,5K-10K,Married,2,Muslim,religious,Health,50
Hareshima Hameshutefet,Woman,27,South,City,4,Second degree,5K-10K,Married,2,Muslim,religious,Health,50
Yesh Atid,Woman,23,Haifa,City,4,High school,less then 5K,Single,0,Jewish,secular,Economy,50
Hareshima Hameshutefet,Woman,34,Center,Yeshuv,3,Second degree,5K-10K,Married,5,Muslim,religious,Culture,40
Hareshima Hameshutefet,Man,66,North,Kefar,4,First degree,10K-15K,Married,4,Muslim,religious,Health,45
Hareshima Hameshutefet,Woman,44,Haifa,Kefar,8,Second degree,5K-10K,Married,5,Muslim,religious,Health,80
Likud,Woman,24,Center,City,5,First degree,Unemployed,Single,0,Jewish,observant,Health,80
Yesh Atid,Man,60,Tel Aviv,City,5,Second degree,25K+,Married,3,Jewish,secular,Economy,50
Haavoda,Woman,26,Tel Aviv,City,3,First degree,less then 5K,Single,0,Jewish,secular,Social equality,40
Israel Beitenu,Woman,35,Center,City,3,Second degree,10K-15K,Married,2,Jewish,secular,Health,70
Yesh Atid,Man,29,Tel Aviv,City,2,First degree,less then 5K,Single,0,Jewish,atheist,Economy,40
